Work / Time,Project,Works Achive,Next Action,Due
🚩  부동산 매칭,,,,
" 1. 제안 완료",- 상진 (%E1%84%89%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%B5%E1%86%AB%2010ee98ce7f71800ba5bdf8b8e04c56a9.md),→ 제안 완료,완료,"November 15, 2024"
,- 강익하 (%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%B5%E1%86%A8%E1%84%92%E1%85%A1%20123e98ce7f7180e382c0caed08d0cb61.md),→ 제안 완료,완료,"October 24, 2024"
,- 위니치 (%E1%84%8B%E1%85%B1%E1%84%82%E1%85%B5%E1%84%8E%E1%85%B5%2056bdd84430ce4f8e91500bb57f51024f.md),→ 제안 완료,완료,"September 9, 2024"
,- 김민욱 (%E1%84%80%E1%85%B5%E1%86%B7%E1%84%86%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%AE%E1%86%A8%2054d6627b01bd401685c04d582cb36c66.md),→ 제안 완료,완료,"November 14, 2024"
,-  박근하 (%E1%84%87%E1%85%A1%E1%86%A8%E1%84%80%E1%85%B3%E1%86%AB%E1%84%92%E1%85%A1%2012fe98ce7f7180d5a25aebbc35a6cecb.md),→ 제안 완료,완료,"November 22, 2024"
,- 지준호 (%E1%84%8C%E1%85%B5%E1%84%8C%E1%85%AE%E1%86%AB%E1%84%92%E1%85%A9%20127e98ce7f7180a69c4cfdeeee802388.md),→ 제안 완료,완료,"November 19, 2024"
,- 하성민 (%E1%84%92%E1%85%A1%E1%84%89%E1%85%A5%E1%86%BC%E1%84%86%E1%85%B5%E1%86%AB%2075f2ce683a2745068793ec246813b276.md),→ 제안 완료,완료,"December 9, 2024"
,,,,
" 2. 물건 취합 중",- 김영우 (%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%AE%2012fe98ce7f7180b6a7e1d0a581b43041.md),"→ 성북구, 동대문구, 도봉구, 노원구 제외한 지역 전달 완료",물건 취합 중,"December 5, 2024"
,- 썬양의 자연주의 (%E1%84%8A%E1%85%A5%E1%86%AB%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%B4%20%E1%84%8C%E1%85%A1%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%8C%E1%85%AE%E1%84%8B%E1%85%B4%20120e98ce7f7180e49468cfa5b5674037.md),→ 취합 중,물건 취합 중,"December 13, 2024"
,- 김동현 German Football Specialist (%E1%84%80%E1%85%B5%E1%86%B7%E1%84%83%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A7%E1%86%AB%20German%20Football%20Specialist%2010be98ce7f7180c6b59dd55ae7e42310.md),→ 고객과 재연락 후 다시 한번 김포 풍무/구래/장기/인천 검단 등 지역으로 확인 중,물건 수집 중,"December 13, 2024"
,,,,
" 3. 물건 수집 중",- 차진용 (%E1%84%8E%E1%85%A1%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%AD%E1%86%BC%20122e98ce7f7180c08614c516e202a656.md),중개사 연락 중,물건 수집 중,"November 29, 2024"
,- 이지원 (%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%AF%E1%86%AB%20ec4d45ab16a94fceae22b652ad8b5b03.md),중개사 연락 중,물건 수집 중,
,,,,
" 4. 중개사 연락 중",- (주)디파이너스 ((%E1%84%8C%E1%85%AE)%E1%84%83%E1%85%B5%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A5%E1%84%89%E1%85%B3%20113e98ce7f7180ab8538ef6c26e37a21.md),중개사 연락 중,중개사 연락 중,"December 13, 2024"
,- 이호정 (%E1%84%8B%E1%85%B5%E1%84%92%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%BC%20123e98ce7f7180d2a20eec239d433f97.md),중개사 연락 중,중개사 연락 중,"December 13, 2024"
,,,,
5. 진행 예정,"- 민경석님 (%E1%84%86%E1%85%B5%E1%86%AB%E1%84%80%E1%85%A7%E1%86%BC%E1%84%89%E1%85%A5%E1%86%A8%E1%84%82%E1%85%B5%E1%86%B7%20118e98ce7f7180e493adc692781d3f92.md) ",,,
,"- 조백상 (%E1%84%8C%E1%85%A9%E1%84%87%E1%85%A2%E1%86%A8%E1%84%89%E1%85%A1%E1%86%BC%2062cf63ebe87d4034b5954aefc8be8422.md) ",→ 자세한 고객 정보 연락 必,,
,"- 슬로운 서형주 (%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A9%E1%84%8B%E1%85%AE%E1%86%AB%20%E1%84%89%E1%85%A5%E1%84%92%E1%85%A7%E1%86%BC%E1%84%8C%E1%85%AE%20134e98ce7f7180afae1ad3978c391b13.md) ",,,
,"- 히터스베이스볼센터 손현우 대표 (%E1%84%92%E1%85%B5%E1%84%90%E1%85%A5%E1%84%89%E1%85%B3%E1%84%87%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%87%E1%85%A9%E1%86%AF%E1%84%89%E1%85%A6%E1%86%AB%E1%84%90%E1%85%A5%20%E1%84%89%E1%85%A9%E1%86%AB%E1%84%92%E1%85%A7%E1%86%AB%E1%84%8B%E1%85%AE%20%E1%84%83%E1%85%A2%E1%84%91%E1%85%AD%2073cda15a00ef4770b5b22e0dcf926473.md) ",,,
,- 탄단지박스 (%E1%84%90%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%B5%E1%84%87%E1%85%A1%E1%86%A8%E1%84%89%E1%85%B3%202d8ba24e75414472952a88609b997a09.md),→ 내년 이전 준비 중,,
,,,,
🚩 스프린트,- 템플릿 관련,"▶️ https://www.notion.so/168e98ce7f718065a290d0a81107cfc3?pvs=21
 ㄴKick off 미팅ㅣ25.01.21(화) 완료
 ㄴ 2월 3일(월) 콜드-메일 작성, 4일(화) 콜드-메일 발송 예약
      Best: 첨부 파일(템플릿) / 우피 Site Link",진행 중,"February 3, 2025"
,- 콘텐츠 관련,"▶️ https://www.notion.so/16fe98ce7f71808c8581d5f4d18ef123?pvs=21
 ㄴ 제조 기반 스타트업의 핵심 전략, MoB 의사결정 (https://www.notion.so/MoB-17ae98ce7f71805b9922d2cc673b24d0?pvs=21)ㅣ작성 중
 ㄴ 1. MoB 의사결정의 필요성 (https://www.notion.so/1-MoB-17be98ce7f71805fb921f24f065c804d?pvs=21)ㅣ작성 완료
 ㄴ 2. MoB 의사결정의 프로세스 (https://www.notion.so/2-MoB-17be98ce7f718072bab4ca314a87349d?pvs=21)ㅣ작성 완료
 ㄴ 3. MoB 의사결정의 전략적 영향 (https://www.notion.so/3-MoB-17be98ce7f718077acf7e3969d1653bd?pvs=21)ㅣ작성 완료
 ㄴ MoB 의사결정: 아웃소싱 의사결정을 내리는 방법 (https://www.notion.so/MoB-17be98ce7f7180649f23c57bb144f6c0?pvs=21)ㅣ작성 완료
 ㄴ Make vs Buy 의사결정에 대한 전략적 접근 (https://www.notion.so/Make-vs-Buy-17ce98ce7f7180c68b1bdb4112d5926d?pvs=21)ㅣ작성 완료
 ㄴ Make or Buy Analysis란? (https://www.notion.so/Make-or-Buy-Analysis-17ce98ce7f718065b361d66c53e5340c?pvs=21)ㅣ작성 완료
 ㄴ Make or Buy Decision (https://www.notion.so/Make-or-Buy-Decision-17ce98ce7f718086b422d385cdbd06cc?pvs=21)ㅣ작성 완료
 ㄴ 생산할 것인가, 구매할 것인가 (https://www.notion.so/17ee98ce7f7180d292a9cf35dd2cf0a5?pvs=21)ㅣ작성 완료",,"January 24, 2025"
,- 비용 산정,"→ MoB Decision 및 BP 비용 산정ㅣ작업 중 
 ㄴ MoB 의사결정 및 BP 서비스 소개 (https://www.notion.so/MoB-BP-182e98ce7f718093a818c2107e17ac1d?pvs=21)
 ㄴ https://docs.google.com/spreadsheets/d/1-Gv_m1nWarMaNJXBRijIff9FhcrKe3OR/edit?usp=sharing&ouid=107822978668353244494&rtpof=true&sd=true",진행 중,"December 31, 2024 → January 7, 2025"
,- oopy 개선 플젝,→ 개선 사항 파이널 Check! 후 수정ㅣ예정,진행 중,"December 31, 2024 → January 7, 2025"
🚩 외부 미팅,- 빌사남 및 홈즈컴퍼니,"→ 빌사남_김윤수 대표 미팅
- 25.01.20(월)ㅣ오전 10:00 완료

→ 홈즈컴퍼니_이태현 대표 미팅
- 25.01.23(목)ㅣ오후 4:00 예정",진행 예정,"January 20, 2025 → January 24, 2025"
🚩 기타,MoB 관련,"→ 25년 1Q: MoB 관련 Cold-Mail 및 세미나 진행 고려
→ 25년 1Q: 제조 스타트업 대상 지면 콘텐츠 작성 중
 ㄴ 페이스북 / 링크드인 등 채널 구상",진행 중,
,리얼라이저블 노션 정리,→ 90% 작성 완료ㅣ계속해서 보완 중,진행 중,