Name,Assign,Date,Status
1차 콜드-메일 발송,김경재,"January 27, 2025 → February 4, 2025",Completed
2차 콜드-메일 발송,김경재,"February 4, 2025 → February 11, 2025",Completed
3차 콜드-메일 발송,김경재,"February 12, 2025 → February 18, 2025",Completed
1차 리드 마그넷 작성 및 발행,김경재,"February 12, 2025 → February 18, 2025",Completed
4차 콜드-메일 발송,김경재,"February 18, 2025 → February 25, 2025",Completed
"혁신의 숲, 데이터바우처 진행",김경재,"February 24, 2025 → March 7, 2025",In progress
2차 리드 마그넷 작성 및 발행,"김경재, 동명 원","February 25, 2025 → March 4, 2025",In progress
5차 콜드-메일 발송,"김경재, 동명 원","February 26, 2025 → March 4, 2025",In progress
우피 콘텐츠(Blog) 페이지 작업,김경재,"February 28, 2025 → March 4, 2025",Completed
"링크드인, 블로그, 브런치 등 커뮤니티 운영",김경재,"March 3, 2025 → December 31, 2025",Not started
청창사 및 AC 등 파트너 기관 협력,김경재,"March 4, 2025 → March 14, 2025",Not started
"VC 대상 1차 콜드-메일 발송 ",김경재,"March 12, 2025 → March 18, 2025",Not started
"VC 대상 2차 콜드-메일 발송 ",김경재,"March 19, 2025 → March 25, 2025",Not started
고객 성공 사례 콘텐츠 작성,"김경재, 동명 원","March 3, 2025 → March 14, 2025",In progress
시세 조회 서비스 개발-런칭,"jaekyun shim, 혜천 이","February 1, 2025 → June 1, 2025",In progress
서비스 런칭 전 고객 리드,,"May 1, 2025 → May 30, 2025",Not started
상반기 - 브랜드 신뢰 구축 단계,,"January 1, 2025 → June 30, 2025",In progress
1차 웨비나 모객 및 개최,,"June 1, 2025 → July 1, 2025",Not started
오프라인 네트워킹 데이,,"June 1, 2025 → July 31, 2025",Not started
하반기 - 고객 접점 확대,,"June 15, 2025 → December 31, 2025",Not started
,,,Not started
,,,Not started