Work / Time,Project,Next Action,Works Achive,Due
🚩 스프린트,- 콜드 메일,진행 중,"▶️ https://www.notion.so/168e98ce7f718065a290d0a81107cfc3?pvs=21
  🎯 1차 발송 성공: 132건, 87% / 열람율: 60건, 43.2% / 클릭율: 3건, 2.3% / 전환: 0
  🎯 2차 발송 성공: 134건, 88% / 열람율: 56건, 34.3% / 클릭율: 3건, 2.2% / 전환: 3
 ㄴ 이노플라즈텍ㅣ이덕연 대표 → 12일(수) 비대면 미팅 예약 완료
 ㄴ 정보 공유 못받음
 ㄴ 정보 공유 못받음

 ㄴ 2월 17일(수) 3차 콜드-메일 발송 (세 번째 그룹)
- Seed~Pre-A 그룹 메일 리스트 작성, 발송ㅣ완료
  🎯 발송 성공: 90건, 89.1% / 열람율: 39건, 43.3% / 클릭율: 3건, 3.3% / 전환: 1
 ㄴ 알페스(주)ㅣ이진성 CFO 

ㄴ 2월 25~26일(수) 4차 콜드-메일 발송
- 1~3차 발송 대상 약 400건 발송ㅣ25.02.26(수) 오전 07:30 예정
▶️ https://stibee.com/api/v1.0/emails/share/gw_LkukhMgSiA0j0Bef9TW9cEEZtpiM
- 고객 정보 입력 시, 체크리스트 및 재무 템플릿 전달

ㄴ 3월 4(화)~5일(수) 5차 콜드-메일 발송 작업
- Series A~B 그룹, 약 200건 발송
- 고객 정보 입력 시, 체크리스트 및 재무 템플릿 전달","February 28, 2025"
,- 콘텐츠 관련,진행 중,"▶️ https://www.notion.so/16fe98ce7f71808c8581d5f4d18ef123?pvs=21
 ㄴ https://www.notion.so/18fe98ce7f718020858cef110cde2dc5?pvs=21
1차 내용 구성 完 → 다듬는 작업 진행 ㅣ작업 중
제조 워크플로우 최적화: 한국 제조 기업과 스타트업을 위한 기술 문서 활용 전략 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f7180cbbcbefb6aac5b4290?pvs=21) 
제조 파트너십을 위한 RFQ 프로세스 완벽 가이드 (다듬는 작업 필요) (https://www.notion.so/RFQ-192e98ce7f71802ba258ec9d5fc917d9?pvs=21) 
국내 제조 기업과 스타트업을 위한 턴키 생산(Turnkey Production) 가이드 (다듬는 작업 필요) (https://www.notion.so/Turnkey-Production-192e98ce7f71801a827cf2152838bf3a?pvs=21) 
맞춤형 제품 개발의 복잡성 극복하기: 국내 제조 스타트업과 기업을 위한 전략 (다듬기 작업 필요) (https://www.notion.so/192e98ce7f718029a4d5fc04bdd0b244?pvs=21) 
신제품 마케팅 전략, 무엇을 준비해야 할까? (다듬는 작업 필요) (https://www.notion.so/192e98ce7f71805291dedd4d843125d0?pvs=21) 
원활한 생산을 위한 제조 프로젝트 관리 마스터하기 (다듬는 작업 필요) (https://www.notion.so/18fe98ce7f7180cabaf9cd11ae30569f?pvs=21) 
클린룸이 제품 품질에 미치는 영향 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f718015b206d944173f3d8e?pvs=21) 
의료기기 OEM 프로세스의 7가지 필수 단계 (다듬는 작업 필요) (https://www.notion.so/OEM-7-192e98ce7f71802e9758c40ceb5e6a1f?pvs=21) 
중소기업과 스타트업을 위한 OEM 제조 방식의 이해와 이점 (다듬는 작업 필요) (https://www.notion.so/OEM-192e98ce7f7180248704c22d339798f0?pvs=21) 
친환경 제조로의 전환: 혁신적인 제조 전략 탐색 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f71806cb1ebd300e7f6ef22?pvs=21) 
제조업 성공의 요소, 턴키 생산 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f7180219fa9d149abf714da?pvs=21) 
새로운 제품을 위한 최고의 제조 파트너를 선택하는 방법 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f71808895c5ea49c9d12f68?pvs=21) 
한국 제조 스타트업과 기업이 알아야 할 필수 사항 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f71807faee0d75dc073c18b?pvs=21) 
제품 혁신의 8가지 주요 과제와 해결 전략 (다듬는 작업 필요) (https://www.notion.so/8-192e98ce7f7180809655ece484851691?pvs=21) 
제품 개발에서 제조까지: 효율적인 생산이 혁신을 만든다 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f71808a91d0f66e83cc910e?pvs=21) 
제조 스타트업, 컨셉 없이는 절대 성공할 수 없다! (https://www.notion.so/192e98ce7f718087b897caccdbdd39fb?pvs=21) 
디자인만 좋은 제품은 실패한다! 제조까지 고려해야 시장에서 성공한다 (다듬는 작업 필요) (https://www.notion.so/192e98ce7f7180c89fc9f054c64fe496?pvs=21) ","February 28, 2025"
,- 비용 산정,진행 중,"→ MoB Decision 및 BP 비용 산정ㅣ작업 중 
 ㄴ MoB 의사결정 및 BP 서비스 소개 (https://www.notion.so/MoB-BP-182e98ce7f718093a818c2107e17ac1d?pvs=21)
 ㄴ https://docs.google.com/spreadsheets/d/1-Gv_m1nWarMaNJXBRijIff9FhcrKe3OR/edit?usp=sharing&ouid=107822978668353244494&rtpof=true&sd=true","December 31, 2024 → January 7, 2025"
,- 우피 內 콘텐츠 페이지 신설,진행 중,"→ 우피 內 콘텐츠 페이지 신설
→ 이후 브런치, 링크드인, 블로그 운영",
,"- 혁신의숲 데이터바우처 신청 ",진행 중,"→ 혁신의 숲, 데이터 바우처 신청
 ㄴ 수행계획서 작성 必
 ㄴ Untitled (https://www.notion.so/1982e771e6dc8012ba8cca763683229e?pvs=21) ",
🚩 외부 미팅,,완료,"→ 지엔디(위칙) 계약 및 Next Step 미팅ㅣ25.02.20(목) 15:00 완료
ㄴ 공장 등록과 인허가 사항 관리
ㄴ 공장 운영을 위한 정부 지원 프로그램과 공장 운영 효율성
ㄴ 공장 운영을 위한 공장장 닷컴 및 MoB 컨설팅 크로스 세일즈
ㄴ 2 공장 및 베트남 등 글로벌 공장 매매 연계(잠재적 세일즈)","January 20, 2025 → January 24, 2025"
,고객 성공 콘텐츠,진행 예정,"→ 위칙
→ 리플라
 ㄴ 콘텐츠 기획 및 인터뷰 질문지 작성","March 3, 2025 → March 12, 2025"
,청장사 및 AC 협업,진행 예정,→ 협업 제안 내용 기획,"February 23, 2025 → February 28, 2025"
🚩 기타,연차,진행 예정,→ 3월 13일(목)~14일(금) 연차 신청,"March 13, 2025 → March 14, 2025"
,리얼라이저블 노션 정리,진행 중,→ 90% 작성 완료ㅣ계속해서 보완 중,